key,field,english,spanish (fill in)
element.40.fact,fact,Fake diamonds (cubic zirconia) are made from this! It looks just like real diamond.,¡Los diamantes falsos (circonia cúbica) se hacen de esto! Parece diamante real.
element.40.whatIf,whatIf,"If you went diamond shopping, a zirconia 'diamond' would cost about 1000 times less than a real one — and most people couldn't tell the difference!","Si fueras a comprar diamantes, un 'diamante' de circonia costaría unas 1000 veces menos que uno real — ¡y la mayoría de la gente no notaría la diferencia!"
element.40.where,where,"Found in zircon sand on beaches in Australia, South Africa, and the United States.","Se encuentra en arena de circón en playas de Australia, Sudáfrica y Estados Unidos."
element.40.uses.0,use,Fake diamonds,Diamantes falsos
element.40.uses.1,use,Nuclear reactors,Reactores nucleares
element.40.uses.2,use,Knives,Cuchillos
element.41.fact,fact,Used in super-fast magnets in MRI machines and particle accelerators!,¡Usado en imanes superrrápidos en máquinas de resonancia magnética y aceleradores de partículas!
element.41.whatIf,whatIf,"Without niobium, the Large Hadron Collider in Switzerland (the biggest science machine ever built) wouldn't be able to smash atoms together!","Sin niobio, el Gran Colisionador de Hadrones en Suiza (la mayor máquina científica jamás construida) no podría fusionar átomos."
element.41.where,where,"90% of the world's niobium comes from Brazil, with the rest from Canada.","El 90% del niobio mundial proviene de Brasil, mientras que el resto proviene de Canadá."
element.41.uses.0,use,MRI magnets,Imanes de resonancia magnética
element.41.uses.1,use,Jet engines,Motores a reacción
element.41.uses.2,use,Coins,Monedas
element.42.fact,fact,Fun to say! It makes steel tougher for tanks and tools.,¡Divertido decirlo! Hace que el acero sea más resistente para tanques y herramientas.
element.42.whatIf,whatIf,"During WWI, German cannons with molybdenum-strengthened barrels could shoot farther and last longer than enemy ones — it changed the war.","Durante la Primera Guerra Mundial, los cañones alemanes con cañones reforzados con molibdeno podían disparar más lejos y durar más que los enemigos — eso cambió la guerra."
element.42.where,where,"Mined as a byproduct of copper, mostly in China, the United States, and Chile.","Se extraía como subproducto del cobre, principalmente en China, Estados Unidos y Chile."
element.42.uses.0,use,Steel alloys,Aleaciones de acero
element.42.uses.1,use,Lubricants,Lubricantes
element.42.uses.2,use,Lightbulb filaments,Filamentos de bombilla
element.43.fact,fact,The first element ever made by humans in a lab! Doesn't occur naturally.,¡El primer elemento creado por humanos en un laboratorio! No ocurre de forma natural.
element.43.whatIf,whatIf,Tens of millions of medical scans use technetium every year — it lights up inside your body so doctors can see what's wrong!,Decenas de millones de escáneres médicos usan tecnecio cada año: ¡se ilumina dentro de tu cuerpo para que los médicos puedan ver qué pasa!
element.43.where,where,Doesn't exist naturally on Earth! All of it is made in nuclear reactors for medical use.,¡No existe de forma natural en la Tierra! Todo se fabrica en reactores nucleares para uso médico.
element.43.uses.0,use,Medical scans,Escáneres médicos
element.43.uses.1,use,Research,Investigación
element.43.uses.2,use,X-ray imaging,Imágenes por rayos X
element.44.fact,fact,Used in the tips of really fancy fountain pens so they last forever!,¡Se usa en las puntas de plumas estilográficas muy sofisticadas para que duren para siempre!
element.44.whatIf,whatIf,"If your hard drive uses 'perpendicular recording' (most do), it has a thin layer of ruthenium that lets it pack 10x more data!","Si tu disco duro usa 'grabación perpendicular' (la mayoría lo hace), tiene una fina capa de rutenio que le permite almacenar 10 veces más datos."
element.44.where,where,"Mined as a byproduct of platinum, mostly in South Africa, Russia, and North America.","Se extraía como subproducto del platino, principalmente en Sudáfrica, Rusia y Norteamérica."
element.44.uses.0,use,Fountain pens,Plumas estilográficas
element.44.uses.1,use,Solar cells,Celdas solares
element.44.uses.2,use,Electronics,Electrónica
element.45.fact,fact,One of the most expensive metals in the world — even more than gold!,Uno de los metales más caros del mundo — ¡incluso más que el oro!
element.45.whatIf,whatIf,"If your car didn't have rhodium in its catalytic converter, the air pollution from cars would be way worse — that's why thieves sometimes steal them!","Si tu coche no tuviera rodio en su catalizador, la contaminación del aire de los coches sería mucho peor — ¡por eso a veces los ladrones los roban!"
element.45.where,where,Extremely rare. Mostly mined in South Africa as a tiny byproduct of platinum mining.,Extremadamente raro. Principalmente extraído en Sudáfrica como un pequeño subproducto de la minería de platino.
element.45.uses.0,use,Catalytic converters,Catalizadores
element.45.uses.1,use,Jewelry,Joyería
element.45.uses.2,use,Mirrors,Espejos
element.46.fact,fact,Helps clean up car exhaust to make the air less polluted!,¡Ayuda a limpiar los gases de escape del coche para que el aire esté menos contaminado!
element.46.whatIf,whatIf,Palladium can absorb 900 times its own volume in hydrogen gas — it acts like a metal sponge for fuel cells!,El paladio puede absorber 900 veces su propio volumen en gas hidrógeno — ¡actúa como una esponja metálica para las pilas de combustible!
element.46.where,where,Mostly mined in Russia and South Africa.,Principalmente se extrae en Rusia y Sudáfrica.
element.46.uses.0,use,Catalytic converters,Catalizadores
element.46.uses.1,use,Jewelry,Joyería
element.46.uses.2,use,Electronics,Electrónica
element.47.fact,fact,The best conductor of electricity of any metal! Also kills germs.,¡El mejor conductor de electricidad de cualquier metal! También mata gérmenes.
element.47.whatIf,whatIf,"In old Western movies, people used silver bullets against werewolves — but in real life, silver actually kills germs! It's used in some bandages.","En las viejas películas del Oeste, la gente usaba balas de plata contra hombres lobo, ¡pero en la vida real, la plata mata los gérmenes! Se usa en algunas vendas."
element.47.where,where,"Mined in Mexico, Peru, China, and Australia. Often found alongside lead and copper.","Minó en México, Perú, China y Australia. A menudo se encuentra junto al plomo y el cobre."
element.47.uses.0,use,Jewelry,Joyería
element.47.uses.1,use,Mirrors,Espejos
element.47.uses.2,use,Coins,Monedas
element.48.fact,fact,Gives bright yellow paint its color — like school buses!,Le da color a la pintura amarilla brillante — ¡como los autobuses escolares!
element.48.whatIf,whatIf,"Vincent van Gogh's famous yellow sunflowers were painted with cadmium yellow — but over the years, the paint is slowly turning brown!","Los famosos girasoles amarillos de Vincent van Gogh estaban pintados con amarillo cadmio — pero con los años, la pintura se está volviendo marrón poco a poco."
element.48.where,where,"Comes as a byproduct of zinc mining, mostly in China, South Korea, and Japan.","Proviene como subproducto de la minería de zinc, principalmente en China, Corea del Sur y Japón."
element.48.uses.0,use,Yellow paint,Pintura amarilla
element.48.uses.1,use,Batteries,Baterías
element.48.uses.2,use,Solar panels,Paneles solares
element.49.fact,fact,Lets touchscreens work! It's in every phone and tablet screen.,¡Que trabajen las pantallas táctiles! Está en todas las pantallas de teléfonos y tabletas.
element.49.whatIf,whatIf,"Without indium, you couldn't use a touchscreen — your finger taps would have no way to be detected through the glass!","Sin indio, no podrías usar una pantalla táctil — ¡tus toques con los dedos no tendrían forma de detectarse a través del cristal!"
element.49.where,where,"Mostly mined as a byproduct of zinc in China, South Korea, and Japan.","Principalmente extraído como subproducto del zinc en China, Corea del Sur y Japón."
element.49.uses.0,use,Touchscreens,Pantallas táctiles
element.49.uses.1,use,Solar panels,Paneles solares
element.49.uses.2,use,LCDs,LCD
element.50.fact,fact,'Tin' cans are mostly steel with just a tiny tin coating to stop rust!,Las latas de 'estaño' son mayormente de acero con solo un pequeño recubrimiento de hojalata para evitar el óxido.
element.50.whatIf,whatIf,"If you bend a piece of pure tin, it makes a strange crackling sound called the 'tin cry' — try it sometime!","Si doblas un trozo de hojalata pura, hace un sonido extraño de crujido llamado 'llanto de hojalata' — ¡pruébalo alguna vez!"
element.50.where,where,"Mined mostly in China, Indonesia, and Myanmar.","Minado principalmente en China, Indonesia y Myanmar."
element.50.uses.0,use,Cans,Latas
element.50.uses.1,use,Solder,Soldadura
element.50.uses.2,use,Bronze,Bronce
element.51.fact,fact,Used to be in ancient Egyptian eye makeup thousands of years ago!,¡Antes llevaba maquillaje de ojos del antiguo Egipto hace miles de años!
element.51.whatIf,whatIf,"Cleopatra wore antimony eye makeup called kohl — basically the same stuff still used in some eyeliners today, 2000+ years later!","Cleopatra usaba un maquillaje de ojos de antimonio llamado kohl — básicamente el mismo que todavía se usa en algunos delineadores hoy en día, ¡2000+ años después!"
element.51.where,where,"Mostly mined in China (over 80% of the world's supply!), Russia, and Tajikistan.","Principalmente extraído en China (¡más del 80% del suministro mundial!), Rusia y Tayikistán."
element.51.uses.0,use,Flame retardants,Retardantes de llama
element.51.uses.1,use,Batteries,Baterías
element.51.uses.2,use,Cosmetics (historic),Cosmética (histórica)
element.52.fact,fact,Makes you smell like garlic if you touch it! Yuck.,¡Te hace hueler a ajo si lo tocas! Puaj.
element.52.whatIf,whatIf,"If you handle tellurium, you can smell garlic on your breath for WEEKS afterward — even tiny amounts cause it!","Si manipulas telurio, puedes oler ajo en tu aliento durante SEMANAS después — ¡incluso pequeñas cantidades lo causan!"
element.52.where,where,"Comes as a byproduct of refining copper. Mostly from the United States, Peru, and Japan.","Viene como un subproducto del refinado del cobre. Principalmente de Estados Unidos, Perú y Japón."
element.52.uses.0,use,Solar panels,Paneles solares
element.52.uses.1,use,Steel,Acero
element.52.uses.2,use,DVDs,DVDs
element.53.fact,fact,Added to table salt to keep your thyroid healthy! Turns purple as a gas.,¡Añade sal de mesa para mantener la tiroides sana! Se vuelve morado como un gas.
element.53.whatIf,whatIf,"If you didn't get enough iodine, your thyroid gland would swell up into a big lump on your neck called a goiter — that's why salt is iodized!","Si no consumías suficiente yodo, tu glándula tiroides se hinchaba formando un gran bulto en el cuello llamado bocio, ¡por eso la sal está yodada!"
element.53.where,where,"Extracted from underground brines and seaweed in Chile, Japan, and the United States.","Extraído de salmueras subterráneas y algas marinas en Chile, Japón y Estados Unidos."
element.53.uses.0,use,Salt,Sal
element.53.uses.1,use,Antiseptic,Antiséptico
element.53.uses.2,use,Photography,Fotografía
element.54.fact,fact,Powers car headlights that look bright blue-white! Also used in lighthouses.,¡Alimenta faros de coche que parecen azul blanco brillante! También se usa en faros.
element.54.whatIf,whatIf,"NASA uses xenon as fuel for ion engines on spacecraft — it's slow but super efficient, perfect for long missions to deep space!","La NASA usa xenón como combustible para motores iónicos en naves espaciales — es lento pero súper eficiente, perfecto para misiones largas al espacio profundo."
element.54.where,where,Extremely rare in air — only 1 part per 11.5 million. Most expensive gas to extract from air.,"Extremadamente raro en el aire — solo 1 parte por cada 11,5 millones. El gas más caro de extraer del aire."
element.54.uses.0,use,Headlights,Faros
element.54.uses.1,use,Lighthouses,Faros
element.54.uses.2,use,Anesthesia,Anestesia
element.55.fact,fact,Defines what one second is! The most accurate clocks use cesium atoms.,¡Define lo que es un segundo! Los relojes más precisos utilizan átomos de cesio.
element.55.whatIf,whatIf,"One second is officially 9,192,631,770 vibrations of a cesium atom — atomic clocks are so precise they only lose 1 second every 100 million years!",Un segundo equivale oficialmente a 9.192.631.770 vibraciones de un átomo de cesio — ¡los relojes atómicos son tan precisos que solo pierden 1 segundo cada 100 millones de años!
element.55.where,where,"Mined from a mineral called pollucite in Manitoba, Canada (the world's biggest source).","Extraído de un mineral llamado pollucita en Manitoba, Canadá (la mayor fuente del mundo)."
element.55.uses.0,use,Atomic clocks,Relojes atómicos
element.55.uses.1,use,Drilling fluids,Fluidos de perforación
element.55.uses.2,use,Photoelectric cells,Celdas fotoeléctricas
element.56.fact,fact,Makes the green colors in fireworks! Doctors use it to see your stomach in X-rays.,¡Hace los colores verdes en los fuegos artificiales! Los médicos la usan para ver tu estómago en radiografías.
element.56.whatIf,whatIf,"If you ever need a stomach X-ray, you'll drink a chalky liquid called a 'barium milkshake' — it lights up your insides on the X-ray machine!","Si alguna vez necesitas una radiografía de estómago, bebrás un líquido caláceo llamado 'batido de bario': ¡ilumina tu interior con la máquina de rayos X!"
element.56.where,where,"Mined as the mineral barite in China, India, and Morocco.","Extraído como mineral barita en China, India y Marruecos."
element.56.uses.0,use,Fireworks,Fuegos artificiales
element.56.uses.1,use,X-rays,Rayos X
element.56.uses.2,use,Drilling,Perforación
element.57.fact,fact,Found in special movie projector lenses and electric car batteries!,¡Se encuentra en lentes especiales de proyectores de cine y baterías de coches eléctricos!
element.57.whatIf,whatIf,"Without lanthanum, hybrid cars like the Toyota Prius wouldn't have such powerful batteries — each one contains about 10 kg of it!","Sin el lantanio, los coches híbridos como el Toyota Prius no tendrían baterías tan potentes — ¡cada uno contiene unos 10 kg!"
element.57.where,where,"Found in monazite and bastnasite ores, mostly mined in China.","Se encuentra en minerales de monazita y bastasita, principalmente extraídos en China."
element.57.uses.0,use,Camera lenses,Lentes de cámara
element.57.uses.1,use,EV batteries,Baterías de vehículos eléctricos
element.57.uses.2,use,Lighter flints,Pedernal más ligero
element.58.fact,fact,In your car's catalytic converter! Also polishes glass to perfection.,¡En el catalizador de tu coche! También pule el vidrio a la perfección.
element.58.whatIf,whatIf,The lens of every smartphone camera was probably polished with cerium oxide — it's the world's best polishing powder!,La lente de todas las cámaras de smartphone probablemente estaba pulida con óxido de cerio — ¡es el mejor polvo pulidor del mundo!
element.58.where,where,"The most abundant rare-earth element. Mined mostly in China, India, and the United States.","El elemento de tierras raras más abundante. Minado principalmente en China, India y Estados Unidos."
element.58.uses.0,use,Catalytic converters,Catalizadores
element.58.uses.1,use,Glass polishing,Pulido de vidrio
element.58.uses.2,use,Lighter flints,Pedernal más ligero
element.59.fact,fact,Makes the yellow goggles that welders wear to protect their eyes!,¡Hace las gafas amarillas que usan los soldadores para proteger sus ojos!
element.59.whatIf,whatIf,"Without praseodymium goggles, welders would damage their eyes from the super-bright light of the welding torch — it filters out the harmful glare!","Sin gafas de praseodimio, los soldadores se dañarían los ojos por la luz súper brillante del soplete de soldar — ¡filtra el resplandor dañino!"
element.59.where,where,"Mined as a rare earth in China, Russia, and the United States.","Se extrajo como tierra rara en China, Rusia y Estados Unidos."
element.59.uses.0,use,Welding goggles,Gafas de soldadura
element.59.uses.1,use,Magnets,Imanes
element.59.uses.2,use,Lasers,Láseres
element.60.fact,fact,"Makes the world's strongest magnets! They're in headphones, hard drives, and electric motors.","¡Hace los imanes más potentes del mundo! Están en auriculares, discos duros y motores eléctricos."
element.60.whatIf,whatIf,Two strong neodymium magnets can snap together so hard they'll pinch your finger HARD — they're 10x stronger than regular fridge magnets!,Dos imanes de neodimio tan potentes pueden chocar tan fuerte que te pellizcan el dedo MUY fuerte — ¡son 10 veces más fuertes que los imanes normales de nevera!
element.60.where,where,"Mined mostly in China, which controls about 80% of the world's rare-earth supply.","Se extrae principalmente en China, que controla aproximadamente el 80% del suministro mundial de tierras raras."
element.60.uses.0,use,Strong magnets,Imanes fuertes
element.60.uses.1,use,Headphones,Auriculares
element.60.uses.2,use,Electric motors,Motores eléctricos
element.61.fact,fact,Glows in the dark! Used in some watch dials and emergency signs.,¡Brilla en la oscuridad! Se usa en algunos relojes y señales de emergencia.
element.61.whatIf,whatIf,Promethium is so radioactive that all of it on Earth has decayed away — every atom in use today was made in a nuclear reactor!,El prometio es tan radiactivo que todo en la Tierra se ha desintegrado — ¡cada átomo en uso hoy se ha producido en un reactor nuclear!
element.61.where,where,Doesn't exist naturally anymore. Made in nuclear reactors when needed.,Ya no existe de forma natural. Fabricado en reactores nucleares cuando es necesario.
element.61.uses.0,use,Glowing paint,Pintura brillante
element.61.uses.1,use,Atomic batteries,Baterías atómicas
element.61.uses.2,use,Research,Investigación
element.62.fact,fact,Makes magnets that work even when really hot — used in headphones and guitars!,Fabrica imanes que funcionan incluso cuando están muy calientes — ¡usados en auriculares y guitarras!
element.62.whatIf,whatIf,Samarium-cobalt magnets work fine in places where neodymium magnets would fail — like inside jet engines that get blazing hot!,Los imanes de samario-cobalto funcionan bien en lugares donde los imanes de neodimio fallarían — como dentro de motores a reacción que se calientan mucho.
element.62.where,where,"Mined in China, the United States, and Brazil.","Minó en China, Estados Unidos y Brasil."
element.62.uses.0,use,Magnets,Imanes
element.62.uses.1,use,Lasers,Láseres
element.62.uses.2,use,Cancer treatment,Tratamiento del cáncer
element.63.fact,fact,Makes Euro banknotes glow under UV light to stop fakes!,¡Hace que los billetes en euros brillen bajo luz ultravioleta para detener los falsos!
element.63.whatIf,whatIf,"Hold a Euro bill under a blacklight and you'll see secret patterns glow red, green, and blue — that's europium doing its anti-counterfeit magic!","Sostiene un billete de euro bajo una luz negra y verás patrones secretos brillar en rojo, verde y azul: ¡eso es europio haciendo su magia antifalsificación!"
element.63.where,where,Mined as part of rare-earth ores in China and elsewhere.,Se extrajo como parte de minerales de tierras raras en China y otros lugares.
element.63.uses.0,use,Anti-counterfeit,Antifalsificación
element.63.uses.1,use,TV screens,Pantallas de televisión
element.63.uses.2,use,LEDs,LEDs
element.64.fact,fact,Helps doctors get clearer pictures from MRI scans!,¡Ayuda a los médicos a obtener imágenes más claras de las resonancias magnéticas!
element.64.whatIf,whatIf,"If you've had a fancy MRI scan, you might have been injected with gadolinium — it makes blood vessels and tissues glow bright on the images.","Si te han hecho una resonancia magnética sofisticada, puede que te hayan inyectado gadolinio: hace que los vasos sanguíneos y tejidos brillen intensamente en las imágenes."
element.64.where,where,"Found in rare-earth deposits, mostly mined in China.","Se encuentra en depósitos de tierras raras, principalmente extraídos en China."
element.64.uses.0,use,MRI contrast,Contraste en la resonancia magnética
element.64.uses.1,use,Microwaves,Microondas
element.64.uses.2,use,TV screens,Pantallas de televisión
element.65.fact,fact,Makes the green color you see on every smartphone screen!,¡Hace que el color verde que ves en todas las pantallas de smartphones!
element.65.whatIf,whatIf,"Look closely at a phone screen with a magnifying glass and you'll see tiny red, green, and blue dots — terbium powers the green ones!","Mira detenidamente la pantalla de un teléfono con una lupa y verás pequeños puntos rojos, verdes y azules — ¡el terbio alimenta los verdes!"
element.65.where,where,Mined mostly in southern China.,Principalmente se extrajo en el sur de China.
element.65.uses.0,use,Phone screens,Pantallas telefónicas
element.65.uses.1,use,LEDs,LEDs
element.65.uses.2,use,Sonar,Sonar
element.66.fact,fact,Its name means 'hard to get'! Used in wind turbine magnets.,¡Su nombre significa 'difícil de conseguir'! Usado en imanes para turbinas eólicas.
element.66.whatIf,whatIf,"Each big wind turbine needs about 200 kg of dysprosium-containing magnets — without it, going green with wind energy would be way harder!","Cada gran aerogenerador necesita unos 200 kg de imanes que contienen disprosio — sin ellos, ¡pasar a la energía eólica a lo ecológico sería mucho más difícil!"
element.66.where,where,Almost all production comes from China — strategically very important.,Casi toda la producción proviene de China — algo estratégicamente muy importante.
element.66.uses.0,use,Wind turbines,Aerogeneradores
element.66.uses.1,use,Hard drives,Discos duros
element.66.uses.2,use,Lasers,Láseres
element.67.fact,fact,Has the strongest magnetic strength of any element on Earth!,¡Tiene la fuerza magnética más fuerte de cualquier elemento de la Tierra!
element.67.whatIf,whatIf,Holmium lasers are used by doctors to break up kidney stones into tiny pieces so you can pass them painlessly!,Los láseres de holmio son usados por los médicos para descomponer piedras renales en pedacitos diminutos y así poder expulsarlos sin dolor.
element.67.where,where,"Mined as part of rare-earth deposits in China, the United States, and Brazil.","Extraído como parte de depósitos de tierras raras en China, Estados Unidos y Brasil."
element.67.uses.0,use,Lasers,Láseres
element.67.uses.1,use,Magnets,Imanes
element.67.uses.2,use,Nuclear control rods,Barras de control nucleares
element.68.fact,fact,Makes pink-colored glass and amplifies the internet through fiber optic cables!,¡Fabrica cristales de color rosa y amplifica internet a través de cables de fibra óptica!
element.68.whatIf,whatIf,"Without erbium, the internet would be way slower — every undersea fiber optic cable uses erbium to boost the signal across oceans!","Sin erbio, internet sería mucho más lento: ¡todos los cables de fibra óptica submarinos usan erbio para amplificar la señal a través de los océanos!"
element.68.where,where,Mined in China and other rare-earth deposits.,Extraído en China y otros depósitos de tierras raras.
element.68.uses.0,use,Fiber optics,Fibra óptica
element.68.uses.1,use,Pink glass,Cristal rosa
element.68.uses.2,use,Lasers,Láseres
element.69.fact,fact,The rarest stable element on Earth! Used in tiny portable X-ray machines.,¡El elemento estable más raro de la Tierra! Se usa en pequeñas máquinas portátiles de rayos X.
element.69.whatIf,whatIf,Portable X-ray machines using thulium are small enough to carry to remote villages — they help doctors check for broken bones anywhere!,Las máquinas portátiles de rayos X que usan thulium son lo suficientemente pequeñas para llevarlas a pueblos remotos — ¡ayudan a los médicos a buscar huesos rotos en cualquier parte!
element.69.where,where,Extremely rare — mined as a small byproduct of other rare earth mining in China.,Extremadamente raro — extraído como un pequeño subproducto de otras minas de tierras raras en China.
element.69.uses.0,use,Portable X-rays,Radiografías portátiles
element.69.uses.1,use,Lasers,Láseres
element.69.uses.2,use,Surgery,Cirugía
element.70.fact,fact,Used in even more accurate atomic clocks than cesium ones!,¡Se usa en relojes atómicos aún más precisos que los de cesio!
element.70.whatIf,whatIf,Ytterbium clocks are so precise they could keep accurate time for the entire age of the universe and only be off by a fraction of a second!,Los relojes de itterbio son tan precisos que podrían mantener la hora exacta para toda la edad del universo y solo se desvian una fracción de segundo.
element.70.where,where,Mined as part of rare-earth deposits in China and elsewhere.,Extraído como parte de yacimientos de tierras raras en China y otros lugares.
element.70.uses.0,use,Atomic clocks,Relojes atómicos
element.70.uses.1,use,Lasers,Láseres
element.70.uses.2,use,Stainless steel,Acero inoxidable
element.71.fact,fact,Helps refine oil into gasoline so cars can run!,¡Ayuda a refinar el aceite en gasolina para que los coches puedan funcionar!
element.71.whatIf,whatIf,"Without lutetium catalysts, turning crude oil into gasoline would be way slower — every gallon you put in a car has been touched by it!","Sin catalizadores de lutecio, convertir el petróleo crudo en gasolina sería mucho más lento: ¡cada galón que pones en un coche ha sido tocado por él!"
element.71.where,where,The rarest of the rare earths. Mined in China and the United States.,La más rara de las tierras raras. Minado en China y Estados Unidos.
element.71.uses.0,use,Oil refining,Refinado de petróleo
element.71.uses.1,use,PET scans,Escaneos PET
element.71.uses.2,use,Cancer treatment,Tratamiento del cáncer
element.72.fact,fact,Used inside computer chips to make them work faster!,¡Se usan dentro de chips informáticos para que funcionen más rápido!
element.72.whatIf,whatIf,"Modern Intel processors have hafnium in them — without it, your laptop would run hotter and slower than it does today!","Los procesadores Intel modernos tienen hafnio — sin él, tu portátil se calentaría más y despacio que ahora."
element.72.where,where,Mined as a byproduct of zirconium in Australia and South Africa.,Extraído como subproducto del circonio en Australia y Sudáfrica.
element.72.uses.0,use,Computer chips,Chips de ordenador
element.72.uses.1,use,Nuclear reactors,Reactores nucleares
element.72.uses.2,use,Light bulbs,Bombillas
element.73.fact,fact,Inside every phone! Holds tons of power in tiny capacitors.,¡Dentro de cada teléfono! Almacena muchísima energía en condensadores diminutos.
element.73.whatIf,whatIf,"Without tantalum capacitors, smartphones would be much chunkier — it lets manufacturers cram a ton of electronics into tiny spaces.","Sin condensadores de tántalo, los smartphones serían mucho más robustos: permiten a los fabricantes meter una gran cantidad de electrónica en espacios reducidos."
element.73.where,where,"Mined in Rwanda, the Democratic Republic of Congo, Brazil, and Australia.","Minó en Ruanda, la República Democrática del Congo, Brasil y Australia."
element.73.uses.0,use,Phones,Teléfonos
element.73.uses.1,use,Hearing aids,Audífonos
element.73.uses.2,use,Surgical tools,Herramientas quirúrgicas
element.74.fact,fact,Has the highest melting point of any metal! Used in light bulb filaments.,¡Tiene el punto de fusión más alto de cualquier metal! Se usa en filamentos de bombillas.
element.74.whatIf,whatIf,You'd have to heat tungsten to 3422°C to melt it — hotter than the surface of some stars! That's why it's used in hot places.,Tendrías que calentar tungsteno a 3422°C para derretirlo — ¡más caliente que la superficie de algunas estrellas! Por eso se usa en lugares calientes.
element.74.where,where,"Mostly mined in China, Vietnam, and Russia.","Principalmente minado en China, Vietnam y Rusia."
element.74.uses.0,use,Light bulbs,Bombillas
element.74.uses.1,use,Drills,Ejercicios
element.74.uses.2,use,X-ray tubes,Tubos de rayos X
element.75.fact,fact,One of the rarest elements on Earth! Helps jet engines fly safely.,¡Uno de los elementos más raros de la Tierra! Ayuda a que los motores a reacción vuelven con seguridad.
element.75.whatIf,whatIf,"Rhenium can survive temperatures inside jet engines that would melt other metals — without it, modern jets couldn't fly as fast or far.","El renaio puede sobrevivir a temperaturas dentro de motores a reacción que fundirían otros metales; sin él, los jets modernos no podrían volar tan rápido ni tan lejos."
element.75.where,where,Extremely rare. Comes as a byproduct of copper mining in Chile and the United States.,Extremadamente raro. Surge como un subproducto de la minería de cobre en Chile y Estados Unidos.
element.75.uses.0,use,Jet engines,Motores a reacción
element.75.uses.1,use,Catalysts,Catalizadores
element.75.uses.2,use,Thermometers,Termómetros
element.76.fact,fact,The densest natural element! A small ball of it would be insanely heavy.,¡El elemento natural más denso! Una bola pequeña sería increíblemente pesada.
element.76.whatIf,whatIf,A bowling-ball-sized chunk of osmium would weigh about 170 lbs — you couldn't lift it with both hands!,Un trozo de osmio del tamaño de una bola de bolos pesaría unos 170 libras — ¡no podrías levantarlo con ambas manos!
element.76.where,where,Extremely rare. Found alongside platinum in South Africa and Russia.,Extremadamente raro. Se encuentra junto al platino en Sudáfrica y Rusia.
element.76.uses.0,use,Pen tips,Puntas para bolígrafos
element.76.uses.1,use,Electrical contacts,Contactos eléctricos
element.76.uses.2,use,Pacemakers,Marcapasos
element.77.fact,fact,A meteor full of iridium might have killed the dinosaurs 66 million years ago!,¡Un meteorito lleno de iridio podría haber matado a los dinosaurios hace 66 millones de años!
element.77.whatIf,whatIf,Scientists found a thin layer of iridium in rocks worldwide that's exactly 66 million years old — that's how they figured out a giant asteroid hit Earth and ended the dinosaurs!,Los científicos encontraron una fina capa de iridio en rocas de todo el mundo que tiene exactamente 66 millones de años — así fue como descubrieron que un asteroide gigante impactó en la Tierra y acabó con los dinosaurios.
element.77.where,where,"Very rare on Earth's surface, but more common in meteorites and Earth's core.","Muy raro en la superficie de la Tierra, pero más común en meteoritos y en el núcleo terrestre."
element.77.uses.0,use,Spark plugs,Bujías
element.77.uses.1,use,Pen tips,Puntas para bolígrafos
element.77.uses.2,use,Watches,Relojes
element.78.fact,fact,Even more precious than gold! Used in fancy jewelry and dental work.,¡Incluso más valioso que el oro! Se usa en joyería de lujo y trabajos dentales.
element.78.whatIf,whatIf,"If a rock band sells over 1 million albums, they get a 'platinum record' — because platinum is rarer and more valuable than gold!","Si una banda de rock vende más de un millón de álbumes, recibe un 'disco de platino' — ¡porque el disco de platino es más raro y valioso que el oro!"
element.78.where,where,"Mined mostly in South Africa (over 70%!), Russia, and Zimbabwe.","Se extrajo principalmente en Sudáfrica (¡más del 70%!), Rusia y Zimbabue."
element.78.uses.0,use,Jewelry,Joyería
element.78.uses.1,use,Catalytic converters,Catalizadores
element.78.uses.2,use,Lab equipment,Equipamiento de laboratorio
element.79.fact,fact,Never rusts or tarnishes! That's why ancient gold treasures still shine.,¡Nunca se oxida ni se empaña! Por eso los tesoros de oro antiguos siguen brillando.
element.79.whatIf,whatIf,All the gold ever mined in human history would only fill three Olympic swimming pools — it's that rare!,Todo el oro jamás extraído en la historia humana solo llenaría tres piscinas olímpicas — ¡es así de raro!
element.79.where,where,"Mined in China, Australia, Russia, and the United States. Tons of it sits in vaults at Fort Knox and the Federal Reserve.","Minado en China, Australia, Rusia y Estados Unidos. Mucho de él está guardado en cámaras de Fort Knox y de la Reserva Federal."
element.79.uses.0,use,Jewelry,Joyería
element.79.uses.1,use,Coins,Monedas
element.79.uses.2,use,Electronics,Electrónica
element.80.fact,fact,The only metal that's liquid at room temperature! Old thermometers used it.,¡El único metal que es líquido a temperatura ambiente! Lo usaban termómetros antiguos.
element.80.whatIf,whatIf,"In old thermometers, if the glass broke, the silvery mercury would roll around like tiny ball bearings — but it's super toxic, so don't touch!","En los termómetros antiguos, si el cristal se rompía, el mercurio plateado rodaba como pequeños rodamientos de bolas — pero es súper tóxico, ¡así que no lo toques!"
element.80.where,where,"Mined as cinnabar ore in Spain, Italy, and Slovenia for thousands of years.","Extraído como mineral de cinabrio en España, Italia y Eslovenia durante miles de años."
element.80.uses.0,use,Thermometers,Termómetros
element.80.uses.1,use,Fluorescent lights,Luces fluorescentes
element.80.uses.2,use,Switches,Interruptores
element.81.fact,fact,Burns with a beautiful bright green flame!,¡Arde con una hermosa llama verde brillante!
